year,month,day,hour,minute,runtime
2022,10,31,0,0,0.006000
2022,10,31,0,10,0.062000
2022,10,31,0,20,0.010000
2022,10,31,0,30,0.028000
2022,10,31,0,40,0.055000
2022,10,31,0,50,0.036000
2022,10,31,1,0,0.111000
2022,10,31,1,10,0.144000
2022,10,31,1,20,0.058000
2022,10,31,1,30,0.159000
2022,10,31,1,40,0.205000
2022,10,31,1,50,0.230000
2022,10,31,2,0,0.195000
2022,10,31,2,10,0.215000
2022,10,31,2,20,0.173000
2022,10,31,2,30,0.186000
2022,10,31,2,40,0.143000
2022,10,31,2,50,0.143000
2022,10,31,3,0,0.137000
2022,10,31,3,10,0.171000
2022,10,31,3,20,0.190000
2022,10,31,3,30,0.204000
2022,10,31,3,40,0.197000
2022,10,31,3,50,0.204000
2022,10,31,4,0,0.213000
2022,10,31,4,10,0.223000
2022,10,31,4,20,0.247000
2022,10,31,4,30,0.253000
2022,10,31,4,40,0.217000
2022,10,31,4,50,0.228000
2022,10,31,5,0,0.276000
2022,10,31,5,10,0.257000
2022,10,31,5,20,0.241000
2022,10,31,5,30,0.114000
2022,10,31,5,40,0.190000
2022,10,31,5,50,0.229000
2022,10,31,6,0,0.209000
2022,10,31,6,10,0.209000
2022,10,31,6,20,0.156000
2022,10,31,6,30,0.198000
2022,10,31,6,40,0.251000
2022,10,31,6,50,0.227000
2022,10,31,7,0,0.209000
2022,10,31,7,10,0.283000
2022,10,31,7,20,0.270000
2022,10,31,7,30,0.342000
2022,10,31,7,40,0.277000
2022,10,31,7,50,0.231000
2022,10,31,8,0,0.305000
2022,10,31,8,10,0.437000
2022,10,31,8,20,0.199000
2022,10,31,8,30,0.237000
2022,10,31,8,40,0.294000
2022,10,31,8,50,0.343000
2022,10,31,9,0,0.332000
2022,10,31,9,10,0.367000
2022,10,31,9,20,0.412000
2022,10,31,9,30,0.456000
2022,10,31,9,40,0.356000
2022,10,31,9,50,0.385000
2022,10,31,10,0,0.383000
2022,10,31,10,10,0.409000
2022,10,31,10,20,0.425000
2022,10,31,10,30,0.453000
2022,10,31,10,40,0.487000
2022,10,31,10,50,0.509000
2022,10,31,11,0,0.527000
2022,10,31,11,10,0.567000
2022,10,31,11,20,0.587000
2022,10,31,11,30,0.618000
2022,10,31,11,40,0.652000
2022,10,31,11,50,0.682000
