year,month,day,hour,minute,runtime
2022,10,11,12,0,0.193000
2022,10,11,12,10,0.163000
2022,10,11,12,20,0.266000
2022,10,11,12,30,0.138000
2022,10,11,12,40,0.138000
2022,10,11,12,50,0.122000
2022,10,11,13,0,0.131000
2022,10,11,13,10,0.066000
2022,10,11,13,20,0.112000
2022,10,11,13,30,0.110000
2022,10,11,13,40,0.084000
2022,10,11,13,50,0.082000
2022,10,11,14,0,0.081000
2022,10,11,14,10,0.111000
2022,10,11,14,20,0.127000
2022,10,11,14,30,0.156000
2022,10,11,14,40,0.163000
2022,10,11,14,50,0.191000
2022,10,11,15,0,0.216000
2022,10,11,15,10,0.248000
2022,10,11,15,20,0.238000
2022,10,11,15,30,0.269000
2022,10,11,15,40,0.331000
2022,10,11,15,50,0.383000
2022,10,11,16,0,0.451000
2022,10,11,16,10,0.503000
2022,10,11,16,20,0.539000
2022,10,11,16,30,0.603000
2022,10,11,16,40,0.724000
2022,10,11,16,50,0.883000
2022,10,11,17,0,1.032000
2022,10,11,17,10,1.092000
2022,10,11,17,20,1.301000
2022,10,11,17,30,1.642000
2022,10,11,17,40,1.749000
2022,10,11,17,50,1.954000
2022,10,11,18,0,2.135000
2022,10,11,18,10,2.388000
2022,10,11,18,20,2.648000
2022,10,11,18,30,3.083000
2022,10,11,18,40,3.522000
2022,10,11,18,50,3.827000
2022,10,11,19,0,3.891000
2022,10,11,19,10,4.255000
2022,10,11,19,20,4.470000
2022,10,11,19,30,4.590000
2022,10,11,19,40,4.797000
2022,10,11,19,50,4.916000
2022,10,11,20,0,5.153000
2022,10,11,20,10,5.307000
2022,10,11,20,20,5.352000
2022,10,11,20,30,5.567000
2022,10,11,20,40,5.705000
2022,10,11,20,50,5.932000
2022,10,11,21,0,5.979000
2022,10,11,21,10,5.882000
2022,10,11,21,20,5.962000
2022,10,11,21,30,6.375000
2022,10,11,21,40,6.452000
2022,10,11,21,50,6.530000
2022,10,11,22,0,6.722000
2022,10,11,22,10,6.876000
2022,10,11,22,20,6.837000
2022,10,11,22,30,6.953000
2022,10,11,22,40,7.122000
2022,10,11,22,50,7.229000
2022,10,11,23,0,7.339000
2022,10,11,23,10,7.721000
2022,10,11,23,20,7.830000
2022,10,11,23,30,7.777000
2022,10,11,23,40,7.753000
2022,10,11,23,50,7.821000
