year,month,day,hour,minute,runtime
2022,10,1,0,0,0.110000
2022,10,1,0,10,0.139000
2022,10,1,0,20,0.134000
2022,10,1,0,30,0.222000
2022,10,1,0,40,0.221000
2022,10,1,0,50,0.152000
2022,10,1,1,0,0.255000
2022,10,1,1,10,0.248000
2022,10,1,1,20,0.270000
2022,10,1,1,30,0.291000
2022,10,1,1,40,0.355000
2022,10,1,1,50,0.424000
2022,10,1,2,0,0.439000
2022,10,1,2,10,0.460000
2022,10,1,2,20,0.210000
2022,10,1,2,30,0.132000
2022,10,1,2,40,0.131000
2022,10,1,2,50,0.130000
2022,10,1,3,0,0.140000
2022,10,1,3,10,0.157000
2022,10,1,3,20,0.151000
2022,10,1,3,30,0.170000
2022,10,1,3,40,0.180000
2022,10,1,3,50,0.170000
2022,10,1,4,0,0.174000
2022,10,1,4,10,0.172000
2022,10,1,4,20,0.148000
2022,10,1,4,30,0.153000
2022,10,1,4,40,0.166000
2022,10,1,4,50,0.160000
2022,10,1,5,0,0.158000
2022,10,1,5,10,0.160000
2022,10,1,5,20,0.165000
2022,10,1,5,30,0.173000
2022,10,1,5,40,0.164000
2022,10,1,5,50,0.165000
2022,10,1,6,0,0.161000
2022,10,1,6,10,0.147000
2022,10,1,6,20,0.150000
2022,10,1,6,30,0.155000
2022,10,1,6,40,0.157000
2022,10,1,6,50,0.155000
2022,10,1,7,0,0.170000
2022,10,1,7,10,0.189000
2022,10,1,7,20,0.168000
2022,10,1,7,30,0.176000
2022,10,1,7,40,0.182000
2022,10,1,7,50,0.210000
2022,10,1,8,0,0.234000
2022,10,1,8,10,0.217000
2022,10,1,8,20,0.236000
2022,10,1,8,30,0.222000
2022,10,1,8,40,0.274000
2022,10,1,8,50,0.374000
2022,10,1,9,0,0.237000
2022,10,1,9,10,0.183000
2022,10,1,9,20,0.306000
2022,10,1,9,30,0.299000
2022,10,1,9,40,0.333000
2022,10,1,9,50,0.278000
2022,10,1,10,0,0.277000
2022,10,1,10,10,0.301000
2022,10,1,10,20,0.217000
2022,10,1,10,30,0.326000
2022,10,1,10,40,0.288000
2022,10,1,10,50,0.242000
2022,10,1,11,0,0.250000
2022,10,1,11,10,0.187000
2022,10,1,11,20,0.206000
2022,10,1,11,30,0.155000
2022,10,1,11,40,0.148000
2022,10,1,11,50,0.177000
