year,month,day,hour,minute,runtime
2022,10,21,12,0,0.169000
2022,10,21,12,10,0.135000
2022,10,21,12,20,0.170000
2022,10,21,12,30,0.128000
2022,10,21,12,40,0.231000
2022,10,21,12,50,0.127000
2022,10,21,13,0,0.143000
2022,10,21,13,10,0.120000
2022,10,21,13,20,0.199000
2022,10,21,13,30,0.223000
2022,10,21,13,40,0.098000
2022,10,21,13,50,0.108000
2022,10,21,14,0,0.192000
2022,10,21,14,10,0.159000
2022,10,21,14,20,0.171000
2022,10,21,14,30,0.189000
2022,10,21,14,40,0.218000
2022,10,21,14,50,0.263000
2022,10,21,15,0,0.325000
2022,10,21,15,10,0.378000
2022,10,21,15,20,0.339000
2022,10,21,15,30,0.394000
2022,10,21,15,40,0.456000
2022,10,21,15,50,0.524000
2022,10,21,16,0,0.605000
2022,10,21,16,10,0.696000
2022,10,21,16,20,0.800000
2022,10,21,16,30,0.916000
2022,10,21,16,40,1.076000
2022,10,21,16,50,1.198000
2022,10,21,17,0,1.350000
2022,10,21,17,10,1.538000
2022,10,21,17,20,1.736000
2022,10,21,17,30,1.957000
2022,10,21,17,40,2.145000
2022,10,21,17,50,2.310000
2022,10,21,18,0,2.529000
2022,10,21,18,10,2.849000
2022,10,21,18,20,3.017000
2022,10,21,18,30,3.207000
2022,10,21,18,40,3.443000
2022,10,21,18,50,3.585000
2022,10,21,19,0,3.909000
2022,10,21,19,10,4.116000
2022,10,21,19,20,4.329000
2022,10,21,19,30,4.474000
2022,10,21,19,40,4.635000
2022,10,21,19,50,4.692000
2022,10,21,20,0,4.822000
2022,10,21,20,10,4.948000
2022,10,21,20,20,5.107000
2022,10,21,20,30,5.230000
2022,10,21,20,40,5.288000
2022,10,21,20,50,5.378000
2022,10,21,21,0,5.524000
2022,10,21,21,10,5.568000
2022,10,21,21,20,5.689000
2022,10,21,21,30,5.794000
2022,10,21,21,40,5.913000
2022,10,21,21,50,6.022000
2022,10,21,22,0,6.199000
2022,10,21,22,10,6.400000
2022,10,21,22,20,6.559000
2022,10,21,22,30,6.592000
2022,10,21,22,40,6.677000
2022,10,21,22,50,6.846000
2022,10,21,23,0,6.947000
2022,10,21,23,10,6.998000
2022,10,21,23,20,7.105000
2022,10,21,23,30,7.174000
2022,10,21,23,40,7.237000
2022,10,21,23,50,7.302000
