year,month,day,hour,minute,runtime
2022,10,1,12,0,0.059000
2022,10,1,12,10,0.161000
2022,10,1,12,20,0.199000
2022,10,1,12,30,0.153000
2022,10,1,12,40,0.158000
2022,10,1,12,50,0.128000
2022,10,1,13,0,0.209000
2022,10,1,13,10,0.102000
2022,10,1,13,20,0.126000
2022,10,1,13,30,0.161000
2022,10,1,13,40,0.121000
2022,10,1,13,50,0.109000
2022,10,1,14,0,0.246000
2022,10,1,14,10,0.321000
2022,10,1,14,20,0.156000
2022,10,1,14,30,0.173000
2022,10,1,14,40,0.174000
2022,10,1,14,50,0.173000
2022,10,1,15,0,0.139000
2022,10,1,15,10,0.132000
2022,10,1,15,20,0.204000
2022,10,1,15,30,0.268000
2022,10,1,15,40,0.260000
2022,10,1,15,50,0.229000
2022,10,1,16,0,0.239000
2022,10,1,16,10,0.227000
2022,10,1,16,20,0.263000
2022,10,1,16,30,0.297000
2022,10,1,16,40,0.362000
2022,10,1,16,50,0.376000
2022,10,1,17,0,0.415000
2022,10,1,17,10,0.445000
2022,10,1,17,20,0.463000
2022,10,1,17,30,0.484000
2022,10,1,17,40,0.503000
2022,10,1,17,50,0.603000
2022,10,1,18,0,0.625000
2022,10,1,18,10,0.649000
2022,10,1,18,20,0.655000
2022,10,1,18,30,0.732000
2022,10,1,18,40,0.640000
2022,10,1,18,50,0.656000
2022,10,1,19,0,0.678000
2022,10,1,19,10,0.721000
2022,10,1,19,20,0.739000
2022,10,1,19,30,0.764000
2022,10,1,19,40,0.764000
2022,10,1,19,50,0.784000
2022,10,1,20,0,0.820000
2022,10,1,20,10,0.850000
2022,10,1,20,20,0.885000
2022,10,1,20,30,0.906000
2022,10,1,20,40,0.931000
2022,10,1,20,50,0.960000
2022,10,1,21,0,0.993000
2022,10,1,21,10,1.009000
2022,10,1,21,20,1.040000
2022,10,1,21,30,1.068000
2022,10,1,21,40,1.092000
2022,10,1,21,50,1.130000
2022,10,1,22,0,1.138000
2022,10,1,22,10,1.171000
2022,10,1,22,20,1.181000
2022,10,1,22,30,1.210000
2022,10,1,22,40,1.273000
2022,10,1,22,50,1.293000
2022,10,1,23,0,1.280000
2022,10,1,23,10,1.310000
2022,10,1,23,20,1.328000
2022,10,1,23,30,1.366000
2022,10,1,23,40,1.414000
2022,10,1,23,50,1.429000
