year,month,day,hour,minute,runtime
2022,10,31,12,0,0.314000
2022,10,31,12,10,0.181000
2022,10,31,12,20,0.091000
2022,10,31,12,30,0.150000
2022,10,31,12,40,0.124000
2022,10,31,12,50,0.110000
2022,10,31,13,0,0.162000
2022,10,31,13,10,0.246000
2022,10,31,13,20,0.126000
2022,10,31,13,30,0.148000
2022,10,31,13,40,0.130000
2022,10,31,13,50,0.163000
2022,10,31,14,0,0.123000
2022,10,31,14,10,0.143000
2022,10,31,14,20,0.118000
2022,10,31,14,30,0.157000
2022,10,31,14,40,0.188000
2022,10,31,14,50,0.191000
2022,10,31,15,0,0.220000
2022,10,31,15,10,0.248000
2022,10,31,15,20,0.273000
2022,10,31,15,30,0.270000
2022,10,31,15,40,0.285000
2022,10,31,15,50,0.318000
2022,10,31,16,0,0.409000
2022,10,31,16,10,0.414000
2022,10,31,16,20,0.498000
2022,10,31,16,30,0.654000
2022,10,31,16,40,0.565000
2022,10,31,16,50,0.657000
2022,10,31,17,0,0.779000
2022,10,31,17,10,0.929000
2022,10,31,17,20,1.058000
2022,10,31,17,30,1.224000
2022,10,31,17,40,1.340000
2022,10,31,17,50,1.481000
2022,10,31,18,0,1.647000
2022,10,31,18,10,1.738000
2022,10,31,18,20,1.837000
2022,10,31,18,30,2.012000
2022,10,31,18,40,2.201000
2022,10,31,18,50,2.419000
2022,10,31,19,0,2.481000
2022,10,31,19,10,2.532000
2022,10,31,19,20,2.754000
2022,10,31,19,30,2.902000
2022,10,31,19,40,3.079000
2022,10,31,19,50,3.240000
2022,10,31,20,0,3.467000
2022,10,31,20,10,3.556000
2022,10,31,20,20,3.577000
2022,10,31,20,30,3.561000
2022,10,31,20,40,3.649000
2022,10,31,20,50,3.695000
2022,10,31,21,0,3.803000
2022,10,31,21,10,3.883000
2022,10,31,21,20,3.931000
2022,10,31,21,30,3.989000
2022,10,31,21,40,4.181000
2022,10,31,21,50,4.228000
2022,10,31,22,0,4.293000
2022,10,31,22,10,4.346000
2022,10,31,22,20,4.540000
2022,10,31,22,30,4.619000
2022,10,31,22,40,4.672000
2022,10,31,22,50,4.738000
2022,10,31,23,0,4.807000
2022,10,31,23,10,4.591000
2022,10,31,23,20,4.672000
2022,10,31,23,30,4.484000
2022,10,31,23,40,4.711000
2022,10,31,23,50,4.087000
