year,month,day,hour,minute,runtime
2022,10,11,0,0,0.013000
2022,10,11,0,10,0.025000
2022,10,11,0,20,0.039000
2022,10,11,0,30,0.096000
2022,10,11,0,40,0.166000
2022,10,11,0,50,0.080000
2022,10,11,1,0,0.106000
2022,10,11,1,10,0.125000
2022,10,11,1,20,0.154000
2022,10,11,1,30,0.195000
2022,10,11,1,40,0.176000
2022,10,11,1,50,0.209000
2022,10,11,2,0,0.213000
2022,10,11,2,10,0.168000
2022,10,11,2,20,0.129000
2022,10,11,2,30,0.148000
2022,10,11,2,40,0.163000
2022,10,11,2,50,0.163000
2022,10,11,3,0,0.172000
2022,10,11,3,10,0.255000
2022,10,11,3,20,0.263000
2022,10,11,3,30,0.283000
2022,10,11,3,40,0.281000
2022,10,11,3,50,0.298000
2022,10,11,4,0,0.324000
2022,10,11,4,10,0.306000
2022,10,11,4,20,0.402000
2022,10,11,4,30,0.327000
2022,10,11,4,40,0.330000
2022,10,11,4,50,0.380000
2022,10,11,5,0,0.426000
2022,10,11,5,10,0.342000
2022,10,11,5,20,0.321000
2022,10,11,5,30,0.336000
2022,10,11,5,40,0.341000
2022,10,11,5,50,0.374000
2022,10,11,6,0,0.188000
2022,10,11,6,10,0.264000
2022,10,11,6,20,0.270000
2022,10,11,6,30,0.197000
2022,10,11,6,40,0.170000
2022,10,11,6,50,0.183000
2022,10,11,7,0,0.261000
2022,10,11,7,10,0.159000
2022,10,11,7,20,0.203000
2022,10,11,7,30,0.170000
2022,10,11,7,40,0.204000
2022,10,11,7,50,0.201000
2022,10,11,8,0,0.239000
2022,10,11,8,10,0.160000
2022,10,11,8,20,0.196000
2022,10,11,8,30,0.215000
2022,10,11,8,40,0.281000
2022,10,11,8,50,0.293000
2022,10,11,9,0,0.330000
2022,10,11,9,10,0.376000
2022,10,11,9,20,0.409000
2022,10,11,9,30,0.461000
2022,10,11,9,40,0.479000
2022,10,11,9,50,0.519000
2022,10,11,10,0,0.595000
2022,10,11,10,10,0.626000
2022,10,11,10,20,0.641000
2022,10,11,10,30,0.680000
2022,10,11,10,40,0.725000
2022,10,11,10,50,0.763000
2022,10,11,11,0,0.798000
2022,10,11,11,10,0.833000
2022,10,11,11,20,0.880000
2022,10,11,11,30,0.921000
2022,10,11,11,40,0.914000
2022,10,11,11,50,0.981000
