year,month,day,hour,minute,runtime
2022,10,11,12,0,0.251000
2022,10,11,12,10,0.118000
2022,10,11,12,20,0.202000
2022,10,11,12,30,0.212000
2022,10,11,12,40,0.150000
2022,10,11,12,50,0.141000
2022,10,11,13,0,0.093000
2022,10,11,13,10,0.077000
2022,10,11,13,20,0.072000
2022,10,11,13,30,0.064000
2022,10,11,13,40,0.072000
2022,10,11,13,50,0.071000
2022,10,11,14,0,0.093000
2022,10,11,14,10,0.119000
2022,10,11,14,20,0.115000
2022,10,11,14,30,0.114000
2022,10,11,14,40,0.137000
2022,10,11,14,50,0.155000
2022,10,11,15,0,0.217000
2022,10,11,15,10,0.229000
2022,10,11,15,20,0.230000
2022,10,11,15,30,0.258000
2022,10,11,15,40,0.330000
2022,10,11,15,50,0.384000
2022,10,11,16,0,0.464000
2022,10,11,16,10,0.513000
2022,10,11,16,20,0.548000
2022,10,11,16,30,0.616000
2022,10,11,16,40,0.711000
2022,10,11,16,50,0.829000
2022,10,11,17,0,1.048000
2022,10,11,17,10,1.169000
2022,10,11,17,20,1.420000
2022,10,11,17,30,1.663000
2022,10,11,17,40,1.837000
2022,10,11,17,50,2.182000
2022,10,11,18,0,2.457000
2022,10,11,18,10,2.643000
2022,10,11,18,20,2.964000
2022,10,11,18,30,3.111000
2022,10,11,18,40,3.346000
2022,10,11,18,50,3.585000
2022,10,11,19,0,3.850000
2022,10,11,19,10,4.109000
2022,10,11,19,20,4.255000
2022,10,11,19,30,4.437000
2022,10,11,19,40,4.718000
2022,10,11,19,50,4.827000
2022,10,11,20,0,5.034000
2022,10,11,20,10,5.323000
2022,10,11,20,20,5.393000
2022,10,11,20,30,5.583000
2022,10,11,20,40,5.627000
2022,10,11,20,50,5.749000
2022,10,11,21,0,5.873000
2022,10,11,21,10,5.923000
2022,10,11,21,20,6.060000
2022,10,11,21,30,6.197000
2022,10,11,21,40,6.288000
2022,10,11,21,50,6.686000
2022,10,11,22,0,6.684000
2022,10,11,22,10,6.912000
2022,10,11,22,20,7.004000
2022,10,11,22,30,7.178000
2022,10,11,22,40,7.220000
2022,10,11,22,50,7.306000
2022,10,11,23,0,7.480000
2022,10,11,23,10,7.670000
2022,10,11,23,20,7.800000
2022,10,11,23,30,7.768000
2022,10,11,23,40,7.736000
2022,10,11,23,50,7.775000
