year,month,day,hour,minute,runtime
2022,10,21,0,0,0.052000
2022,10,21,0,10,0.075000
2022,10,21,0,20,0.254000
2022,10,21,0,30,0.167000
2022,10,21,0,40,0.084000
2022,10,21,0,50,0.076000
2022,10,21,1,0,0.084000
2022,10,21,1,10,0.143000
2022,10,21,1,20,0.178000
2022,10,21,1,30,0.253000
2022,10,21,1,40,0.229000
2022,10,21,1,50,0.250000
2022,10,21,2,0,0.278000
2022,10,21,2,10,0.333000
2022,10,21,2,20,0.355000
2022,10,21,2,30,0.380000
2022,10,21,2,40,0.203000
2022,10,21,2,50,0.212000
2022,10,21,3,0,0.169000
2022,10,21,3,10,0.180000
2022,10,21,3,20,0.182000
2022,10,21,3,30,0.190000
2022,10,21,3,40,0.189000
2022,10,21,3,50,0.241000
2022,10,21,4,0,0.235000
2022,10,21,4,10,0.186000
2022,10,21,4,20,0.197000
2022,10,21,4,30,0.328000
2022,10,21,4,40,0.327000
2022,10,21,4,50,0.285000
2022,10,21,5,0,0.317000
2022,10,21,5,10,0.338000
2022,10,21,5,20,0.256000
2022,10,21,5,30,0.201000
2022,10,21,5,40,0.175000
2022,10,21,5,50,0.147000
2022,10,21,6,0,0.119000
2022,10,21,6,10,0.120000
2022,10,21,6,20,0.132000
2022,10,21,6,30,0.196000
2022,10,21,6,40,0.392000
2022,10,21,6,50,0.214000
2022,10,21,7,0,0.214000
2022,10,21,7,10,0.156000
2022,10,21,7,20,0.134000
2022,10,21,7,30,0.175000
2022,10,21,7,40,0.223000
2022,10,21,7,50,0.240000
2022,10,21,8,0,0.237000
2022,10,21,8,10,0.267000
2022,10,21,8,20,0.310000
2022,10,21,8,30,0.285000
2022,10,21,8,40,0.408000
2022,10,21,8,50,0.350000
2022,10,21,9,0,0.381000
2022,10,21,9,10,0.417000
2022,10,21,9,20,0.479000
2022,10,21,9,30,0.384000
2022,10,21,9,40,0.399000
2022,10,21,9,50,0.436000
2022,10,21,10,0,0.419000
2022,10,21,10,10,0.442000
2022,10,21,10,20,0.444000
2022,10,21,10,30,0.482000
2022,10,21,10,40,0.512000
2022,10,21,10,50,0.538000
2022,10,21,11,0,0.579000
2022,10,21,11,10,0.624000
2022,10,21,11,20,0.649000
2022,10,21,11,30,0.701000
2022,10,21,11,40,0.735000
2022,10,21,11,50,0.811000
