year,month,day,hour,minute,runtime
2022,10,21,12,0,0.092000
2022,10,21,12,10,0.313000
2022,10,21,12,20,0.345000
2022,10,21,12,30,0.180000
2022,10,21,12,40,0.115000
2022,10,21,12,50,0.138000
2022,10,21,13,0,0.091000
2022,10,21,13,10,0.111000
2022,10,21,13,20,0.113000
2022,10,21,13,30,0.238000
2022,10,21,13,40,0.116000
2022,10,21,13,50,0.112000
2022,10,21,14,0,0.137000
2022,10,21,14,10,0.150000
2022,10,21,14,20,0.145000
2022,10,21,14,30,0.178000
2022,10,21,14,40,0.213000
2022,10,21,14,50,0.256000
2022,10,21,15,0,0.343000
2022,10,21,15,10,0.392000
2022,10,21,15,20,0.372000
2022,10,21,15,30,0.437000
2022,10,21,15,40,0.482000
2022,10,21,15,50,0.548000
2022,10,21,16,0,0.625000
2022,10,21,16,10,0.709000
2022,10,21,16,20,0.734000
2022,10,21,16,30,0.854000
2022,10,21,16,40,0.947000
2022,10,21,16,50,1.107000
2022,10,21,17,0,1.237000
2022,10,21,17,10,1.398000
2022,10,21,17,20,1.621000
2022,10,21,17,30,1.937000
2022,10,21,17,40,2.169000
2022,10,21,17,50,2.418000
2022,10,21,18,0,2.662000
2022,10,21,18,10,2.929000
2022,10,21,18,20,3.035000
2022,10,21,18,30,3.181000
2022,10,21,18,40,3.433000
2022,10,21,18,50,3.546000
2022,10,21,19,0,3.773000
2022,10,21,19,10,3.958000
2022,10,21,19,20,3.975000
2022,10,21,19,30,4.074000
2022,10,21,19,40,4.188000
2022,10,21,19,50,4.427000
2022,10,21,20,0,4.578000
2022,10,21,20,10,4.706000
2022,10,21,20,20,4.871000
2022,10,21,20,30,5.004000
2022,10,21,20,40,5.246000
2022,10,21,20,50,5.329000
2022,10,21,21,0,5.564000
2022,10,21,21,10,5.601000
2022,10,21,21,20,5.673000
2022,10,21,21,30,5.779000
2022,10,21,21,40,5.855000
2022,10,21,21,50,5.953000
2022,10,21,22,0,6.132000
2022,10,21,22,10,6.075000
2022,10,21,22,20,6.242000
2022,10,21,22,30,6.315000
2022,10,21,22,40,6.360000
2022,10,21,22,50,6.461000
2022,10,21,23,0,6.622000
2022,10,21,23,10,6.675000
2022,10,21,23,20,6.685000
2022,10,21,23,30,6.945000
2022,10,21,23,40,7.025000
2022,10,21,23,50,7.130000
