0,0.681
1,0.364
2,0.249
3,0.198
4,0.204
5,0.145
6,0.137
7,0.134
8,0.141
9,0.135
10,0.107
11,0.104
12,0.099
13,0.094
14,0.099
15,0.11
16,0.107
17,0.109
18,0.102
19,0.109
20,0.105
21,0.065
22,0.068
23,0.067
24,0.068
25,0.069
26,0.066
27,0.077
28,0.08
29,0.074
30,0.078
31,0.072
32,0.081
33,0.071
34,0.068
35,0.069
36,0.07
37,0.07
38,0.068
39,0.083
40,0.072
41,0.074
42,0.071
43,0.076
44,0.079
45,0.075
46,0.072
47,0.072
48,0.071
49,0.07
50,0.069
51,0.079
52,0.087
53,0.08
54,0.091
55,0.099
56,0.089
57,0.095
58,0.091
59,0.109
60,0.107
61,0.12
62,0.111
63,0.114
64,0.12
65,0.109
66,0.11
67,0.133
68,0.124
69,0.113
70,0.113
71,0.11
72,0.12
73,0.111
74,0.111
75,0.113
76,0.111
77,0.111
78,0.113
79,0.109
80,0.107
81,0.113
82,0.118
83,0.13
84,0.119
85,0.122
86,0.125
87,0.123
88,0.123
89,0.123
90,0.12
91,0.124
92,0.122
93,0.123
94,0.118
95,0.122
96,0.118
97,0.124
98,0.12
99,0.115
100,0.118
