0,13.255
1,12.468
2,11.295
3,9.613
4,9.199
5,8.15
6,7.867
7,7.985
8,7.448
9,7.614
10,5.928
11,6.001
12,5.864
13,5.874
14,5.323
15,5.395
16,5.551
17,5.07
18,5.656
19,5.425
20,5.414
21,4.59
22,4.759
23,4.961
24,4.845
25,5.451
26,5.09
27,4.778
28,5.162
29,4.662
30,4.373
31,3.935
32,4.276
33,4.23
34,5.419
35,4.914
36,4.907
37,4.97
38,5.055
39,4.937
40,4.987
41,5.041
42,5.355
43,5.144
44,5.1
45,5.651
46,5.28
47,5.175
48,5.294
49,5.359
50,7.873
51,7.631
52,7.611
53,7.353
54,7.44
55,7.051
56,7.074
57,6.875
58,6.934
59,7.119
60,6.891
61,6.926
62,6.943
63,7.144
64,7.254
65,7.536
66,7.432
67,7.514
68,7.5
69,7.576
70,7.565
71,7.55
72,7.585
73,7.824
74,8.205
75,7.996
76,8.124
77,8.161
78,8.192
79,8.3
80,8.396
81,8.417
82,8.625
83,8.694
84,8.856
85,9.227
86,9.233
87,9.529
88,9.531
89,9.606
90,9.57
91,9.778
92,9.994
93,9.977
94,9.942
95,10.008
96,9.994
97,9.929
98,10.056
99,10.446
100,10.015
