0,1.037
1,0.706
2,0.672
3,0.56
4,0.763
5,0.77
6,0.533
7,0.859
8,0.635
9,0.67
10,0.636
11,0.608
12,0.875
13,0.87
14,0.807
15,0.889
16,0.42
17,0.738
18,0.411
19,0.869
20,0.624
21,0.915
22,0.871
23,0.829
24,0.738
25,0.858
26,0.552
27,0.852
28,0.511
29,0.815
30,0.685
31,0.867
32,0.557
33,0.857
34,0.509
35,0.85
36,0.785
37,0.433
38,0.596
39,0.701
40,0.647
41,0.641
42,0.777
43,0.561
44,0.857
45,0.834
46,0.633
47,0.882
48,0.754
49,0.535
50,0.413
51,0.414
52,0.417
53,0.557
54,0.557
55,0.832
56,0.513
57,0.832
58,0.43
59,0.649
60,0.707
61,0.399
62,0.383
63,0.264
64,0.274
65,0.294
66,0.515
67,0.338
68,0.795
69,0.38
70,0.312
71,0.63
72,0.442
73,0.325
74,0.416
75,0.299
76,0.268
77,0.292
78,0.638
79,0.31
80,0.315
81,0.323
82,0.62
83,0.315
84,0.331
85,0.484
86,0.298
87,0.336
88,0.284
89,0.313
90,0.367
91,0.379
92,0.689
93,0.396
94,0.799
95,0.541
96,0.398
97,0.686
98,0.41
99,0.495
